similarity_pct,product_a,product_b
89%,E SAVING LAMP 18W B22 - PHILIPS,E SAVING LAMP 18W E27 WW - PHILIPS
89%,E SAVING LAMP 18W B22 - PHILIPS,E SAVING LAMP 18W E27 DL - PHILIPS
89%,E SAVING LAMP 23W E27 WW - GE,E SAVING LAMP 23W E27 SPIRAL WW - GE
89%,FAN REGULATOR DIMMER 500W-YASH,FAN REGULATOR DIMMER 500W-KHIND
89%,FAN REGULATOR DIMMER 500W-YASH,FAN REGULATOR DIMMER 500W-MICRA
89%,GI TRUNKING TEE 150x150MM - 2.44MTR,GI TRUNKING 100x50MM - 2.44MTR
89%,IND WALL SOCKET 415V 63A 3P+N+E,IND WALL SOCKET 415V 125A 3P+E
89%,IND WALL SOCKET 415V 125A 4P+E,IND WALL SOCKET 415V 32A 3P+N+E
89%,MCCB 3P 63A W ENCLOSURE-DADA,MCCB 2P 63A W ENCLOSURE - DADA (BSLI)
89%,METAL ENCLOSURE  400X300X150MM,METAL ENCLOSURE WP 200X200X150MM
89%,METAL ENCLOSURE  400X300X150MM,METAL ENCLOSURE WP 400X300X200MM
89%,METAL ENCLOSURE  400X300X150MM,METAL ENCLOSURE WP 300X200X150MM
89%,OVERLOAD RELAY 2.5-4A SCHNEIDER,OVERLOAD RELAY 7-10A SCHNEIDER
89%,OVERLOAD RELAY 2.5-4A SCHNEIDER,OVERLOAD RELAY 9-13A  -SCHNEIDER
89%,OVERLOAD RELAY 5.5-8A SCHNEIDER,OVERLOAD RELAY 7-10A SCHNEIDER
89%,OVERLOAD RELAY 5.5-8A SCHNEIDER,OVERLOAD RELAY 9-13A  -SCHNEIDER
89%,OVERLOAD RELAY 7-10A SCHNEIDER,OVERLOAD RELAY 16-25A SCHNEIDER
89%,OVERLOAD RELAY 16-25A SCHNEIDER,OVERLOAD RELAY 9-13A  -SCHNEIDER
89%,OVERLOAD RELAY 30 - 40A  -SCHNEIDER,OVERLOAD RELAY 9-13A  -SCHNEIDER
89%,PRE INS. TERMINAL 2.5MM MALE,PRE INS. TERMINAL 2.5MM FEMALE/MALE
89%,REFLECTOR LAMP PAR38 150W 24V E27,REFLECTOR LAMP PAR38 80W E27
89%,SOLDERING WIRE 20/80 1.0MM 15G,SOLDERING WIRE 60/80  1.0MM 200G
89%,"COPPER MALE NIPPLE 1/2""X3/8"" 20MM",COPPER FEMALE NIPPLE 1/2 20MM
89%,PLUG TOP 13A 3PIN BLACK - ADNEXT,PLUG TOP 13A 3PIN BLACK -DIGNITY
89%,DOOR CYLINDER 70MM  BRASS ITALY,DOOR CYLINDER 70MM BRASS - MILANO
89%,WASH BASIN NUT & BOLT SET HD - GERMANY,WASH BASIN NUT & BOLT SET - GER
88%,LED STRIP LIGHT CHANEL 2M,LED STRIP LIGHT CHANEL CLIP
88%,LED FLOOD LIGHT 1000W WH,LED FLOOD LIGHT 100W WH - MODI
88%,LED MODULE 12V  BLUE - SAMSUNG,LED MODULE 12V  WH-  SAMSUNG
88%,LED FLOOD LIGHT 100W WH - MODI,LED FLOOD LIGHT 60W -MODI
88%,"LED DOWN LIGHT 6"" 25W - HIMAX","LED DOWN LIGHT 8"" 30W - HIMAX"
88%,LED TUBE 2FT 12W-15W WH - ROLA,LED TUBE 2FT 50W WH - ROLA
88%,CABLE FLEXIBLE 4CX6.0MM LOOSE,CABLE FLEXIBLE 4CX6.0MM
88%,CABLE SINGLE CORE 16.0MM,CABLE SINGLE CORE 6.0MM - MESC
88%,PVC ADAPTABLE BOX WP 9X6X2,PVC ADAPTABLE BOX WP 3X3X3
88%,PVC ADAPTABLE BOX WP 9X6X2,PVC ADAPTABLE BOX WP 4X4X3
88%,PVC ADAPTABLE BOX WP 9X6X4,PVC ADAPTABLE BOX WP 3X3X3
88%,PVC ADAPTABLE BOX WP 9X6X4,PVC ADAPTABLE BOX WP 3X3X2
88%,PVC ADAPTABLE BOX WP 9X6X4,PVC ADAPTABLE BOX WP 4X4X3
88%,PVC ADAPTABLE BOX WP 9X9X2,PVC ADAPTABLE BOX WP 6X6X3
88%,PVC ADAPTABLE BOX WP 9X9X2,PVC ADAPTABLE BOX WP 6X6X4
88%,PVC ADAPTABLE BOX WP 9X9X2,PVC ADAPTABLE BOX WP 3X3X3
88%,PVC ADAPTABLE BOX WP 9X9X2,PVC ADAPTABLE BOX WP 4X4X3
88%,PVC ADAPTABLE BOX WP 9X9X4,PVC ADAPTABLE BOX WP 6X6X3
88%,PVC ADAPTABLE BOX WP 9X9X4,PVC ADAPTABLE BOX WP 3X3X3
88%,PVC ADAPTABLE BOX WP 9X9X4,PVC ADAPTABLE BOX WP 3X3X2
88%,PVC ADAPTABLE BOX WP 9X9X4,PVC ADAPTABLE BOX WP 4X4X3
88%,PVC CONDUIT PIPE 50MM DD,PVC CONDUIT PIPE 20MM (BLK) - DD
88%,PVC JUNCTION BOX 25MM 1W (BLK),PVC JUNCTION BOX 25MM 3W
88%,PVC JUNCTION BOX 25MM 1W (BLK),PVC JUNCTION BOX 25MM 4W
88%,PVC JUNCTION BOX 25MM 1W (BLK),PVC JUNCTION BOX 20MM 1W
88%,PVC JUNCTION BOX 25MM 1W,PVC JUNCTION BOX 25MM 3W (BLK)
88%,PVC JUNCTION BOX 25MM 4W,PVC JUNCTION BOX 25MM 3W (BLK)
88%,PVC CONDUIT PIPE 32MM DD,PVC CONDUIT PIPE 20MM (BLK) - DD
88%,PVC ADAPTABLE BOX WP 6X6X3,PVC ADAPTABLE BOX WP 3X3X3
88%,PVC ADAPTABLE BOX WP 6X6X3,PVC ADAPTABLE BOX WP 3X3X2
88%,PVC ADAPTABLE BOX WP 9X9X3,PVC ADAPTABLE BOX WP 6X6X4
88%,PVC ADAPTABLE BOX WP 9X9X3,PVC ADAPTABLE BOX WP 3X3X3
88%,PVC ADAPTABLE BOX WP 9X9X3,PVC ADAPTABLE BOX WP 3X3X2
88%,PVC CONNECTOR STRIP 60A - BLACK,PVC CONNECTOR STRIP 60A
88%,PVC ADAPTABLE BOX WP 6X6X4,PVC ADAPTABLE BOX WP 3X3X3
88%,PVC ADAPTABLE BOX WP 6X6X4,PVC ADAPTABLE BOX WP 3X3X2
88%,PVC ADAPTABLE BOX WP 6X6X4,PVC ADAPTABLE BOX WP 4X4X3
88%,PVC JUNCTION BOX 20MM 3W,PVC JUNCTION BOX 25MM 3W (BLK)
88%,PVC ADAPTABLE BOX WP 3X3X3,PVC ADAPTABLE BOX WP 4X4X3
88%,PVC ADAPTABLE BOX WP 3X3X3,PVC ADAPTABLE BOX WP 9X6X3
88%,PVC ADAPTABLE BOX WP 3X3X2,PVC ADAPTABLE BOX WP 4X4X3
88%,PVC ADAPTABLE BOX WP 3X3X2,PVC ADAPTABLE BOX WP 9X6X3
88%,PVC CONDUIT PIPE 20MM (BLK) - DD,PVC CONDUIT PIPE 25MM DD
88%,SW SOCKET 13A 2G GOLDEN,SW SOCKET 13A 2G -GOLDEN-TENBY
88%,SW SOCKET 13A 1G USB - BELANKO,SW SOCKET 13A 2G - BELANKO
88%,SW SOCKET 13A 1G - SYNERGY,SW SOCKET  13A 2G BSS - SYNERGY
88%,SW SOCKET 13A 1G - SYNERGY,SW SOCKET  13A 2G WHI - SYNERGY
88%,SWITCH 10A 2G 1W - MALLIA WH,SWITCH 20A 3G 2W - MALLIA WH
88%,SWITCH 20A 2G 2W - MALLIA WH,SWITCH 10A 3G 1W - MALLIA WH
88%,SWITCH 20A 2G 2W - MALLIA WH,SWITCH 10A 4G 1W - MALLIA WH
88%,SWITCH 20A 3G 2W - MALLIA WH,SWITCH 10A 4G 1W - MALLIA WH
88%,SWITCH 10A 4G 2W WHI - SYNERGY,SWITCH 10A 3G 2W - SYNERGY
88%,SWITCH 10A 4G 2W WHI - SYNERGY,SWITCH 10A 2G 2W - SYNERGY
88%,SWITCH 10A 4G 2W WHI - SYNERGY,SWITCH 10A 1G 2W - SYNERGY
88%,SWITCH 10A 4G 2W WHI - SYNERGY,SWITCH 10A 4G 1W - SYNERGY
88%,SWITCH 10A 3G 2W - SYNERGY,SWITCH 10A 1G 2W WHI - SYNERGY
88%,SWITCH 10A 2G 2W - SYNERGY,SWITCH 10A 1G 2W WHI - SYNERGY
88%,SWITCH 10A 1G 1W - SYNERGY,SWITCH 10A 1G 2W WHI - SYNERGY
88%,SWITCH 10A 1G 2W WHI - SYNERGY,SWITCH 10A 4G 2W - SYNERGY
88%,DIMMER SWITCH 500W 1G - SWE,DIMMER SWITCH 500W 1G -HAGER
88%,BIAX LAMP 18W 4P 820 WW - GE,BIAX LAMP 18W 2P 840 CW - GE
88%,BRASS CABLE GLAND BW 32S,BRASS CABLE GLAND BW 32L-HEX
88%,BRASS CABLE GLAND BW 50L,BRASS CABLE GLAND BW 25L - HEX
88%,BRASS CABLE GLAND CW 25L,BRASS CABLE GLAND BW 25L - HEX
88%,BRASS CABLE GLAND CW 32L,BRASS CABLE GLAND BW 32L-HEX
88%,BRASS CABLE GLAND BW 20L,BRASS CABLE GLAND BW 25L - HEX
88%,BRASS CABLE GLAND BW 20L,BRASS CABLE GLAND BW 32L-HEX
88%,BRASS CABLE GLAND BW 75L,BRASS CABLE GLAND BW 25L - HEX
88%,BRASS CABLE GLAND BW 63L,BRASS CABLE GLAND BW 32L-HEX
88%,BRASS CABLE GLAND BW 25L - HEX,BRASS CABLE GLAND BW 25S
88%,CARTRIDGE FUSE 8.5X23 10A,CARTRIDGE FUSE 8.5X31.5 - 16A
88%,CARTRIDGE FUSE 8.5X23 10A,CARTRIDGE FUSE 8.5X31.5 - 12A
88%,CARTRIDGE FUSE 8.5X23 12A,CARTRIDGE FUSE 8.5X31.5 - 10A
88%,CARTRIDGE FUSE 8.5X23 12A,CARTRIDGE FUSE 8.5X31.5 - 16A
88%,CARTRIDGE FUSE 8.5X23 16A,CARTRIDGE FUSE 8.5X31.5 - 10A
88%,CARTRIDGE FUSE 8.5X23 16A,CARTRIDGE FUSE 8.5X31.5 - 12A
88%,DISTRIBUTION BOARD 10+6 SPN,DISTRIBUTION BOARD 8W SPN
88%,DISTRIBUTION BOARD 10+6 SPN,DISTRIBUTION BOARD 4W SPN
88%,DISTRIBUTION BOARD 6+2 TPN,DISTRIBUTION BOARD 8+4 SPN
88%,DISTRIBUTION BOARD 4+2 SPN,DISTRIBUTION BOARD 10W SPN
88%,DISTRIBUTION BOARD 2+2 SPN,DISTRIBUTION BOARD 2W 3PIN
88%,DISTRIBUTION BOARD 2+2 SPN,DISTRIBUTION BOARD 10W SPN
88%,DISTRIBUTION BOARD 8+4 SPN,DISTRIBUTION BOARD 10W SPN
88%,DISTRIBUTION BOARD 2W 3PIN,DISTRIBUTION BOARD 10W SPN
88%,DISTRIBUTION BOARD 10W SPN,DISTRIBUTION BOARD 6+4 SPN
88%,DRILL BIT HILTI 14 X 460MM,DRILL BIT HILTI 12 X 310MM
88%,DRILL BIT HILTI 16X160MM,DRILL BIT HILTI 16X360MM-400
88%,DRILL BIT HILTI 12 X 310MM,DRILL BIT HILTI 20 X 460MM
88%,DUCT EX FAN 100MM - MONOVENT,DUCT EX FAN 225MM - MONOVENT
88%,E SAVING LAMP 20W E27 - INDIGO,E SAVING LAMP 20W E27 -GE
88%,EMERGENCY PUSH BUTTON W BOX,EMERGENCY PUSH BUTTON N/C
88%,EXT SOCKET 13A 2W/5MTR -UK,EXT SOCKET 13A 4W/5MTR - POKA
88%,EXT SOCKET 13A 4W/5MTR - HB,EXT SOCKET 13A 4W/5MTR - POKA
88%,FL BATTEN FITTING 2X36W - RR,FL BATTEN FITTING 1X18W - RR
88%,FL TUBE 4FT 36W DL - PHILIPS,FL TUBE 2FT 18W DL - PHILIPS
88%,GI ADAPTABLE BOX 150X150X50,GI ADAPTABLE BOX 75X75X50
88%,ISOLATOR FOR DB 3P 100A - GE,ISOLATOR FOR DB 2P 100A - LS
88%,PUSH TAPE STEEL 20MTR 3MM,PUSH TAPE STEEL 25MTR X 5MM
88%,PUSH TAPE STEEL 30MTR 5MM,PUSH TAPE STEEL 25MTR X 5MM
88%,REFLECTOR LAMP R63 40W E27,REFLECTOR LAMP R80 60W E27
88%,REFLECTOR LAMP R39 30W E14,REFLECTOR LAMP R50 40W E14
88%,REFLECTOR LAMP R80 40W E27,REFLECTOR LAMP R50 40W E14
88%,REFLECTOR LAMP R80 40W E27,REFLECTOR LAMP R63 60W E27
88%,RJ45 DATA 1G SOCKET  WHI -MK,RJ45 DATA SOCKET 2G WHI - MK
88%,WP ISOLATOR 35A TPN -  REXTON,WP ISOLATOR 20A SPN - REXTON
88%,WP ISOLATOR 20A SPN - REXTON,WP ISOLATOR 63A TPN - REXTON
88%,SOLDERING IRON 60W 240V,SOLDERING IRON 60W 240V - TOTAL
88%,"COPPER MALE ELBOW 1"" 30MM","COPPER FEMALE ELBOW 1/2"" 20MM"
88%,FIX BOLT (RAWL BOLT) 10MM (SS),FIX BOLT (RAWL BOLT) 10X70MM
88%,"COOLING FAN 12V DC 6"" 150MM","COOLING FAN 12V DC 8"" 200MM"
88%,"COOLING FAN 12V DC 6"" 150MM","COOLING FAN 24V DC 5"" 125MM"
88%,"COOLING FAN 12V DC 8"" 200MM","COOLING FAN 12V DC 5"" 125MM"
88%,"COOLING FAN 12V DC 5"" 125MM","COOLING FAN 12V DC 4"" 100MM"
88%,"SELF TAPING  HEX SCREWS  2""","SELF TAPING  HEX SCREWS  1 1/4"""
88%,"SELF TAPING HEX SCREWS 4""","SELF TAPING  HEX SCREWS  1 1/2"""
88%,"SELF TAPING HEX SCREWS 4""","SELF TAPING  HEX SCREWS  2 1/2"""
88%,POWER SUPPLY 220-12V 200W,POWER SUPPLY 220 -12V 60W 5A
88%,RAWL PLUG BUTTERFLY 6MM,RAWL PLUG BUTTERFLY STEEL  6MM
88%,"ADJUSTABLE WRENCH 300MM 12""","ADJUSTABLE WRENCH 250MM 10"""
88%,LED FLOOD LIGHT 1000W WH,LED FLOOD LIGHT 10W
88%,LED TUBE 2FT 9W - KHIND,LED TUBE 4FT 20W - KHIND
88%,LED BULB 4.5W E27 -MODI,LED BULB 12W E27 - MODI
88%,LED EXIT LIGHT TRANSPARENT W/ARROW - KHIND,LED EXIT LIGHT TRANSPARENT W/ DOWN ARROW- INDIGO
88%,PVC SPRING CLIP 32MM,PVC SPRING CLIP 20MM - DD
88%,PVC SPRING CLIP 20MM - DD,PVC SPRING CLIP 25MM
88%,PVC TRUNKING 100X50 - DD,PVC TRUNKING 75X50 - DD
88%,"PVC SOCKET HP 1-1/2""","PVC MALE SOCKET HP 1-1/2"""
88%,SWITCH 45A DP+NEON - SWE,SWITCH 45A DP+NEON -UK
88%,SWITCH M/CLAD W/BOX 32A DP+NEON - MK5240ALM,SWITCH M/CLAD W/BOX 50A DP+NEON 3X6 - MK5230ALM
88%,SWITCH 45A DP+NEON -UK,SWITCH 45A DP +NEON BRC
88%,FLEX OUT LET 45A - TENBY,FLEX OUTLET 20A - TENBY
88%,CONTROL CABLE FLEXIBLE 4CX0.75MM - SEECAB,CONTROL CABLE  SHIELDED FLEXIBLE 4CX0.5MM - SEECAB
88%,EXT SOCKET 13A 3W/2MTR  W/USB WH - VINCENTI,EXT SOCKET 13A 3W/2MTR W/USB (BLK&GOLD)  - VINCENTI
88%,GLS LAMP 100W 240V B22,GLS LAMP 25W 240V B22
88%,GLS LAMP 25W 240V E27,GLS LAMP 100W 240V E27
88%,METAL HALLIDE/SODIUM BALLAST 250W - HELVER,METAL HALLIDE/SODIUM BALLAST 250W - LUMELITE (GER)
88%,NAIL CLIP FLAT  1.5MM,NAIL CLIP FLAT 1.0MM SM
88%,NAIL CLIP FLAT  4.0MM,NAIL CLIP FLAT 1.0MM SM
88%,NAIL CLIP FLAT 6.0MM,NAIL CLIP FLAT 1.0MM SM
88%,NAIL CLIP ROUND 16MM,NAIL CLIP ROUND 26MM (40)
88%,NAIL CLIP ROUND 26MM (40),NAIL CLIP ROUND 25MM
88%,NAIL CLIP ROUND 26MM (40),NAIL CLIP ROUND 12MM
88%,NAIL CLIP ROUND 26MM (40),NAIL CLIP ROUND 20MM
88%,PUSH BUTTON W BOX 2G,PUSH BUTTON W BOX 2W WP
88%,RCCB 4P 100A 300MA - LS,RCCB 4P 100A 300MA - ABB
88%,RCCB 4P 100A 300MA - GE,RCCB 4P 100A 300MA - ABB
88%,RCCB 4P 100A 300MA - ABB,RCCB 4P 63A 300MA  - ABB
88%,"COPPER TANK CONNECTOR 1""",COPPER T CONNECTOR S
88%,"PPR PIPE TEE 1-1/4""X1""","PPR PIPE TEE 1-1/4""  3/4"""
88%,PLUG TOP 13A 3PIN WHITE,PLUG TOP 13A 3PIN - MH
88%,MAGNETIC CONTACTOR 3P 24V DC 440V 32A - SCHNEIDER,MAGNETIC CONTACTOR 24V DC 12A - SCHNEIDER
88%,THREADED ROD 10MM - 3MTR,THREADED ROD 6MM - 2MTR
88%,THREADED ROD 10MM - 3MTR,THREADED ROD 8MM - 2MTR
88%,CABLE FLEXIBLE 3CX0.75MM 100YDS BLACK - MESC,CABLE FLEXIBLE 3Cx1.5MM - 100YDS (MESC)
88%,CABLE FLEXIBLE 3CX0.75MM 100YDS BLACK - MESC,CABLE FLEXIBLE 3CX2.5MM - 100YDS (MESC)
88%,CABLE FLEXIBLE 3Cx1.5MM - 100YDS (MESC),CABLE FLEXIBLE 2CX1.5MM RD BLK 100YDS- MESC
88%,PVC ADAPTABLE BOX WP 100x100x50 - ANDELI,PVC ADAPTABLE BOX WP 200X300X105 -ANDELI
88%,SW SOCKET METALIC 13A 1G  BSS-B - RR/VIVAN,SW SOCKET METALIC 13A 1G GOLD - RR (VIVAN)
88%,SW SOCKET METALIC 13A 2G GOLD - RR (VIVAN),SW SOCKET METALIC 13A 2G  BSS-B - RR/VIVAN
88%,IND MALE PLUG 380/415V 16A 3P+E+N - PCE,IND MALE PLUG 380/415V 63A 3P+E - (PCE) IP67
88%,IND WALL SOCKET 380/415V 16A 3P+N+E,IND WALL SOCKET 380/415V 16A 3P+E - PCE IP67
88%,IND MALE PLUG 380/415V 16A 3P+N+E - (PCE) IP67,IND MALE PLUG 380/415V 63A 3P+E - (PCE)
88%,IND MALE PLUG 380/415V 32A  3P+N+E - PCE,IND MALE PLUG 380/415V 63A 3P+E - (PCE) IP67
88%,IND MALE PLUG 380/415V 63A 3P+E - (PCE),IND MALE PLUG 380/415V 32A 3P+N+E - (PCE) IP67
88%,HOLE SAW CUTTER W/ARBOUR 25MM - TOLSEN,HOLE SAW CUTTER W/ARBOUR 38MM - 40MM- TOLSEN
88%,MAGNETIC CONTACTOR 220V 40A 3P  - SCHNEIDER,MAGNETIC CONTACTOR 240V 18A - SCHNEIDER
88%,MAGNETIC CONTACTOR 220V 40A 3P  - SCHNEIDER,MAGNETIC CONTACTOR 240V 12A - SCHNEIDER
88%,MAGNETIC CONTACTOR 220V 40A 3P  - SCHNEIDER,MAGNETIC CONTACTOR 240V 25A - SCHNEIDER
88%,MAGNETIC CONTACTOR 220V 40A 3P  - SCHNEIDER,MAGNETIC CONTACTOR 240V 32A - SCHNEIDER
88%,MAGNETIC CONTACTOR 24V DC 25A 4P - SCHNEIDER,MAGNETIC CONTACTOR 24V 9A - SCHNEIDER
88%,MAGNETIC CONTACTOR 240V 25A 4P - ANDELI,MAGNETIC CONTACTOR 24V AC 4P - 1210 ANDELI
88%,MAGNETIC CONTACTOR 24V AC 4P - 1210 ANDELI,MAGNETIC CONTACTOR 240V 40A 4P - ANDELI
88%,MAGNETIC CONTACTOR 24V AC 4P - 1210 ANDELI,MAGNETIC CONTACTOR 240V 32A 4P - ANDELI
88%,MOB SOCKET G STANDARD 10/16A 2P+SE IVORY,MOB SOCKET G STANDARD 10/16A 2P+E BLK
88%,"LED SPOT LIGHT FITTING 3"" 5W - AOMENG","LED SPOT LIGHT FITTING 3"" 5W - ADNEXT"
88%,"LED SURFACE LIGHT RD 4"" 10W - WELLUCK","LED SURFACE LIGHT SQ 8"" 20W  -WELLUCK"
88%,"LED SURFACE LIGHT SQ 8"" 20W  -WELLUCK","LED SURFACE LIGHT SQ 8"" 20W WH -TECO"
88%,"LED SURFACE LIGHT SQ 8"" 20W  -WELLUCK","LED SURFACE LIGHT SQ 8"" 20W WW -TECO"
88%,"LED SURFACE LIGHT RD 8"" 20W - WELLUCK","LED SURFACE LIGHT RD 8"" 20W WW -TECO"
88%,"LED SURFACE LIGHT RD 8"" 20W - WELLUCK","LED SURFACE LIGHT RD 8"" 20W WH -TECO"
88%,LED FLOOD LIGHT 50W WH - MICROLITE,LED FLOOD LIGHT 100W WW - MICROLITE UK
88%,LED STRIP 2 LINE 5050 50M RGB - ROLA,LED STRIP 3 LINE 5050 50M RGB-MODI
88%,LED EXIT LIGHT SINGLE W/ARROW- DOWN,LED EXIT LIGHT SINGLE W/ARROW- LEFT
88%,CABLE SINGLE CORE H.PROOF 1.0MM,CABLE SINGLE CORE H.PROOF 6.0MM -ITALY
88%,CABLE FLEXIBLE 3CX10MM  100YDS - MESC,CABLE FLEXIBLE 3CX2.5MM - 80YDS (MESC)
88%,CABLE FLEXIBLE SINGLE CORE 10MM,CABLE FLEXIBLE SINGLE CORE 16MM - SPAIN
88%,CABLE FLEXIBLE 3CX2.5MM - 100YDS (RR),CABLE FLEXIBLE 3Cx1.5MM - 100YDS (MESC)
88%,CABLE SINGLE CORE H.PROOF 4.0MM,CABLE SINGLE CORE H.PROOF 6.0MM -ITALY
88%,"PVC SOCKET HP 1-1/4""","PVC SOCKET HP 4"""
88%,"PVC SOCKET HP 1-1/4""","PVC SOCKET HP 1"""
88%,"PVC SOCKET HP 2""","PVC SOCKET HP 1-1/2"""
88%,PVC COUPLING 25MM,PVC COUPLING 38MM
88%,PVC COUPLING 32MM,PVC COUPLING 50MM
88%,"PVC SOCKET HP 1-1/2""","PVC SOCKET HP 1"""
88%,PVC COUPLING 50MM,PVC COUPLING 38MM
88%,PVC COUPLING 38MM,PVC COUPLING 20MM
88%,PVC JUNCTION BOX 20MM 3W BLK - DD,PVC JUNCTION BOX 20MM 2W ANGLE BLK - DD
88%,PVC ROUND COVER,PVC ROUND COVER (BLK)
88%,SW SOCKET 13A 2G ROPE EDGE GOLD - ELITE,SW SOCKET 13A 1G ROPE EDGE  GOLD
88%,FLEX OUTLET 20A,FLEX OUTLET 20A SWE
88%,DISH CONNCTOR - F80,DISH CONNCTOR - F71
88%,DISH CONNCTOR - F80,DISH CONNCTOR - F76
88%,DISTRIBUTION BOARD 6+2 TPN - HYUNDAI,DISTRIBUTION BOARD 12W SPN - HYUNDAI
88%,DISTRIBUTION BOARD 4+2 TPN - HYUNDAI,DISTRIBUTION BOARD 12W SPN - HYUNDAI
88%,DRILL BIT HILTI 14 X 310 - MAKITA,"DRILL BIT HILTI 14 X 160 / 260MM -,MAKITA"
88%,E SAVING LAMP 11W E27 COLOUR - PHILIPS,E SAVING LAMP 14W E27 DL - PHILIPS
88%,E SAVING LAMP 11W E27 COLOUR - PHILIPS,E SAVING LAMP 18W E27 DL - PHILIPS
88%,E SAVING LAMP 11W E27 COLOUR - PHILIPS,E SAVING LAMP 11W E27 WW - PHILIPS
88%,E SAVING LAMP 8W E27 TORNADO - PHILIPS,E SAVING LAMP 18W E27 DL - PHILIPS
88%,EX FAN ROUND 15CM GLASS MOUNT - VETO,EX FAN ROUND 15CM GLASS MOUNT - HIFI
88%,GI SB SADDLE 32MM,GI SB SADDLE 50MM
88%,GI SB SADDLE 38MM,GI SB SADDLE 50MM
88%,GI SB SADDLE 38MM,GI SB SADDLE 25MM
88%,GI SB SADDLE 38MM,GI SB SADDLE 20MM
88%,GI BOLT 16X120MM,GI BOLT 16MMX180MM
88%,GI WASHER 6MM X 25,GI WASHER 6MMX35
88%,HRC FUSE 160A  JPU,HRC FUSE  250A JPU
88%,HRC FUSE 100A JPU,HRC FUSE  250A JPU
88%,IND MOBILE SOCKET 415V 63A 3P+E,IND MOBILE SOCKET 415V 16A 3P+N+E (PCE)
88%,IND MALE PLUG 380/415V 16A 3P+E+N - PCE,IND MALE PLUG 380/415V 63A 3P+E
88%,IND MALE PLUG 380/415V 63A 3P+E,IND MALE PLUG 380/415V 32A  3P+N+E - PCE
88%,IND MALE PLUG 380/415V 63A 3P+E - (PCE),IND MALE PLUG 380/415V 32A 3P+N+E
88%,IND MALE PLUG 380/415V 63A 3P+E - (PCE),IND MALE PLUG 415V 16A 3P+N+E (PCE)
88%,IND MOBILE SOCKET 415V 32A 3P+N+E,IND MOBILE SOCKET 415V 16A 3P+E -PCE
88%,IND MALE PLUG 415V 63A 3P+N+E - (PCE),IND MALE PLUG 380/415V 32A  3P+E - PCE
88%,IND WALL SOCKET 220V 16A 2P+E (PCE),IND MOBILE SOCKET 220V 16A 2P+E (PCE)
88%,IND MOBILE SOCKET 220V 32A 2P+E  (PCE),IND WALL SOCKET 220V 32A 2P+E - (PCE)
88%,KOPEX ADAPTOR M32,KOPEX ADAPTOR M50
88%,KOPEX ADAPTOR M32,KOPEX ADAPTOR M40
88%,KOPEX ADAPTOR M40,KOPEX ADAPTOR M25
88%,TELEPHONE CABLE 2PAIR 500MTR - TEEKAB,TELEPHONE CABLE 2PAIR 500MTR - SANA
88%,METAL HALLIDE/SODIUM BALLAST 70W - VS,METAL HALLIDE/SODIUM BALLAST 125W
88%,METAL HALLIDE LAMP 150W 240V DE - PRC,METAL HALLIDE LAMP 70W 240V DE - GE
88%,METAL HALLIDE LAMP 70W 240V DE - PRC,METAL HALLIDE LAMP 150W 240V DE - GE
88%,METAL HALLIDE/SODIUM BALLAST 400W,METAL HALLIDE/SODIUM BALLAST 35W - VS
88%,METAL HALLIDE LAMP 70W 240V G12 - GE,METAL HALLIDE LAMP 150W 240V DE - GE
88%,RUBBER WASHER 3/4'',"RUBBER WASHER 1/2"""
88%,"COPPER ELBOW 1-1/2""",COPPER ELBOW '1'E
88%,"PPR ELBOW 1-1/4"" 90D","PPR ELBOW 1"" 90D"
88%,"PPR PIPE TEE  1/2""",PPR PIPE TEE 1-3/4''
88%,"PPR ELBOW 1/2"" 90D",PPR ELBOW 3/4'' 90D
88%,"PPR ELBOW 1/2"" 90D","PPR ELBOW 1/2"" 45D"
88%,"POLYTHENE PIPE 3/4""","POLYTHENE PIPE 1"""
88%,CANDLE LAMP 40W 240V E27  - VETO/BOLT,CANDLE LAMP 25W 240V E14 - VETO/BOLT
88%,DOOR INTERCOM AUDIO DOUBLE - PRESTON,DOOR INTERCOM AUDIO SINGLE - PRESTON
88%,MAGNETIC CONTACTOR 240V 40A 4P - GE,MAGNETIC CONTACTOR 24V AC 20A 2P - GE
88%,MAGNETIC CONTACTOR 415V CRABTREE,MAGNETIC CONTACTOR 240V 25A-CRABTREE
88%,"JUBILEE CLIP 1/2""","JUBILEE CLIP 1.1/4"""
88%,"JUBILEE CLIP 1.1/4""","JUBILEE CLIP 3/4"""
88%,MASKING TAPE 40MM,MASKING TAPE 25MM
88%,NIGHT LAMP 5W E27,NIGHT LAMP 5W B22
88%,CHANGE OVER SWITCH 630A 4P 415V W ENCLOSURE,CHANGE OVER SWITCH  40A 4P 415V W ENCLOSURE - HAVELLS
88%,"LED SURFACE LIGHT RD 4"" 10W - PRC","LED SURFACE LIGHT RD 6"" 12W - RR"
88%,"LED PANEL RD 6"" 15W FLUSH WH - MX","LED PANEL RD 4"" 6W FLUSH  WW - MX"
88%,LED REFLECTOR LAMP R80 12W E27,LED REFLECTOR LAMP R63 8W E27
88%,LED FLOOD LIGHT 50W WW - MODI,LED FLOOD LIGHT 50W WW - MICROLITE
88%,LED SOLAR FLOOD LIGHT 400W WW,LED SOLAR FLOOD LIGHT 100W - ZIA
